,company_name,rating,location,size,industry,street_number,street_name,town,district,state,postal_code,formatted_address,lat,lng,Gemeindeschlüsselnummer,km²,Einwohner,Landkreis,Grundstückspreise in € pro m²,"Land- und Forstwirtschaft, Fischerei (A)",Produzierendes Gewerbe (B-F),"Handel, Verkehr, Gast- gewerbe (G-I)","Erbrin- gung von Unternehmensdienstleistungen
(J-N)",Erbringung von öffentl. u. privaten Dienstleistungen (O-U),Industry with most employees,Number of Foreigners per Gemeinde,Foreigners as % of Population,Raw population Gain or Loss,Per 1000 Inhabitants,Municipality,Property tax B in 1000 euros
22,moltomedia,5.0,Saarland,1 to 50 Employees,Information Technology Support Services,29,Heinrich-Barth-Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115.0,"Heinrich-Barth-Straße 29, 66115 Saarbrücken, Germany",49.2398244,6.9596917000000005,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
23,IDS Scheer,3.9,Saarland,1001 to 5000 Employees,Information Technology Support Services,17,Altenkesseler Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115.0,"Altenkesseler Str. 17, 66115 Saarbrücken, Germany",49.2461191,6.939045399999999,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
24,Saarland-Heilstätten,4.4,Saarland,1001 to 5000 Employees,Health Care Services & Hospitals,10,Sonnenbergstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66119.0,"Sonnenbergstraße 10, 66119 Saarbrücken, Germany",49.2003316,7.013133499999999,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
25,Peugeot,3.7,Saarland,5001 to 10000 Employees,Transportation Equipment Manufacturing,1,Armand-Peugeot-Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66119.0,"Armand-Peugeot-Straße 1, 66119 Saarbrücken, Germany",49.2000797,7.019590099999999,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
26,Shell,4.1,Saarland,10000+ Employees,Energy & Utilities,136,Lebacher Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66113.0,"Lebacher Str. 136, 66113 Saarbrücken, Germany",49.2484376,6.9661746,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
27,Randstad,3.9,Saarland,501 to 1000 Employees,HR Consulting,80,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111.0,"Bahnhofstraße 80, 66111 Saarbrücken, Germany",49.237222,6.992338900000001,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
28,Consistec,3.6,Saarland,1 to 50 Employees,Enterprise Software & Network Solutions,1,Science Park,Saarbrücken,Regionalverband Saarbrücken,Saarland,66123.0,"Science Park 1, 66123 Saarbrücken, Germany",49.25525709999999,7.037223200000001,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
29,Max Planck Institute,4.2,Saarland,51 to 200 Employees,Energy & Utilities,E1 4,Stuhlsatzenhausweg,Saarbrücken,Regionalverband Saarbrücken,Saarland,66123.0,"Campus, Stuhlsatzenhausweg E1 4, 66123 Saarbrücken, Germany",49.257775,7.04602,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
30,FERCHAU,3.7,Saarland,5001 to 10000 Employees,HR Consulting,17,Altenkesseler Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115.0,"Altenkesseler Str. 17, 66115 Saarbrücken, Germany",49.2460901,6.936855199999999,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
31,Deutsche Bank,3.9,Saarland,10000+ Employees,Banking & Lending,29-31,Kaiserstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111.0,"Kaiserstraße 29-31, 66111 Saarbrücken, Germany",49.2383965,6.9935643,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
