,Unnamed: 0,company_name,rating,location,size,industry,street_number,street_name,town,district,state,postal_code,formatted_address,lat,lng,Gemeinde,Gemeindeschlüsselnummer,km²,Einwohner,Landkreis,Grundstückspreise in € pro m²,"Land- und Forstwirtschaft, Fischerei (A)",Produzierendes Gewerbe (B-F),"Handel, Verkehr, Gast- gewerbe (G-I)","Erbrin- gung von Unternehmensdienstleistungen
(J-N)",Erbringung von öffentl. u. privaten Dienstleistungen (O-U),Industry with most employees,Number of Foreigners per Gemeinde,Foreigners as % of Population,Raw population Gain or Loss,Per 1000 Inhabitants
47,47,Saarland-Heilstätten,4.4,Saarland,1001 to 5000 Employees,Health Care Services & Hospitals,10,Sonnenbergstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66119,"Sonnenbergstraße 10, 66119 Saarbrücken, Germany",49.2003316,7.0131335,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
48,48,CompuGroup Medical,3.2,Saarland,5001 to 10000 Employees,Information Technology Support Services,21,Maria Trost,Koblenz,Kreisfreie Stadt Koblenz,Rheinland-Pfalz,56070,"Maria Trost 21, 56070 Koblenz, Germany",50.3880056,7.57663,,,,,,,,,,,,,,,,
49,49,Peugeot,3.7,Saarland,5001 to 10000 Employees,Transportation Equipment Manufacturing,1,Armand-Peugeot-Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66119,"Armand-Peugeot-Straße 1, 66119 Saarbrücken, Germany",49.2000797,7.0195901,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
50,50,GAN,3.1,Saarland,501 to 1000 Employees,Enterprise Software & Network Solutions,46,Unter den Buchen,Beckingen,Merzig-Wadern,Saarland,66701,"Unter den Buchen 46, 66701 Beckingen, Germany",49.4489691,6.7606883,Beckingen,42111,51.85,14923,Merzig-Wadern,75-100,19,541,422,244,613,Provision of Public and Private Services,194,"6,7",140,"+ 9,4"
51,51,Shell,4.1,Saarland,10000+ Employees,Energy & Utilities,136,Lebacher Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66113,"Lebacher Str. 136, 66113 Saarbrücken, Germany",49.2484376,6.9661746,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
52,52,Dänisches Bettenlager,3.6,Saarland,10000+ Employees,Home Furniture & Housewares Stores,3-Jan,Ahornweg,Saarlouis,Landkreis Saarlouis,Saarland,66740,"Ahornweg 1-3, 66740 Saarlouis, Germany",49.3256904,6.7483919,Saarlouis (Kreisstadt),44115,43.3,34445,Saarlouis,145,,,,,,,,,,
53,53,Procter & Gamble,4.1,Saarland,10000+ Employees,Consumer Product Manufacturing,40-50,Sulzbacher Straße,Schwalbach am Taunus,Main-Taunus-Kreis,Hessen,65824,"Sulzbacher Str. 40-50, 65824 Schwalbach am Taunus, Germany",50.143928,8.530808,,,,,,,,,,,,,,,,
54,54,Randstad,3.9,Saarland,501 to 1000 Employees,HR Consulting,80,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Bahnhofstraße 80, 66111 Saarbrücken, Germany",49.237222,6.9923389,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
55,55,Consistec,3.6,Saarland,1 to 50 Employees,Enterprise Software & Network Solutions,1,Science Park,Saarbrücken,Regionalverband Saarbrücken,Saarland,66123,"Science Park 1, 66123 Saarbrücken, Germany",49.2552571,7.0372232,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
56,56,SAP,4.4,Saarland,10000+ Employees,Enterprise Software & Network Solutions,6,In der Waldwies,Eppelborn,Neunkirchen,Saarland,66571,"In d. Waldwies 6, 66571 Eppelborn, Germany",49.4089775,6.9793833,Eppelborn,43111,47.25,16465,Neunkirchen,75-100,10,894,492,436,772,Manufacturing industry,149,"5,0",69,"+ 4,2"
57,57,Treofan Group,3,Saarland,1001 to 5000 Employees,Consumer Product Manufacturing,,,Neunkirchen,Neunkirchen,Saarland,66539,"Bergstraße, 66539 Neunkirchen, Germany",49.3549214,7.2356992,Neunkirchen (Kreisstadt),43114,75.26,46098,Neunkirchen,90,115,2 137,3 507,1 246,4 594,Provision of Public and Private Services,1 106,"11,6",52,"+ 1,8"
58,58,Max Planck Institute,4.2,Saarland,51 to 200 Employees,Energy & Utilities,E1 4,Stuhlsatzenhausweg,Saarbrücken,Regionalverband Saarbrücken,Saarland,66123,"Campus, Stuhlsatzenhausweg E1 4, 66123 Saarbrücken, Germany",49.257775,7.04602,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
59,59,Adient,3.8,Saarland,10000+ Employees,Transportation Equipment Manufacturing,,,Saarlouis,Landkreis Saarlouis,Saarland,66740,"Ford Industrial Supplier Park, 66740 Saarlouis, Germany",49.3513994,6.7681737,Saarlouis (Kreisstadt),44115,43.3,34445,Saarlouis,145,,,,,,,,,,
60,60,IKEA,3.7,Saarland,10000+ Employees,Home Furniture & Housewares Stores,3-Jan,Im Hader,Saarlouis,Landkreis Saarlouis,Saarland,66740,"Im Hader 1-3, 66740 Saarlouis, Germany",49.2933549,6.7606477,Saarlouis (Kreisstadt),44115,43.3,34445,Saarlouis,145,,,,,,,,,,
61,61,FERCHAU,3.7,Saarland,5001 to 10000 Employees,HR Consulting,17,Altenkesseler Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115,"Altenkesseler Str. 17, 66115 Saarbrücken, Germany",49.2460901,6.9368552,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
62,62,Magna International,3.7,Saarland,10000+ Employees,Transportation Equipment Manufacturing,,,Saarlouis,Landkreis Saarlouis,Saarland,66740,"Ford Supplier Park, 66740 Saarlouis, Germany",49.3522175,6.7704136,Saarlouis (Kreisstadt),44115,43.3,34445,Saarlouis,145,,,,,,,,,,
63,63,Mercedes-Benz Mobility,4.1,Saarland,5001 to 10000 Employees,Banking & Lending,32,Sulzbachtalstraße,Sulzbach/Saar,Regionalverband Saarbrücken,Saarland,66280,"Sulzbachtalstraße 32, 66280 Sulzbach/Saar, Germany",49.2965139,7.055889,Sulzbach/Saar,41518,16.07,16256,RV Saarbrücken,75-100,-,3 674,1 065,1 481,1 761,Manufacturing industry,713,"14,7",139,"+ 8,5"
